"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A→B","Bytes A→B","Packets A←B","Bytes A←B","Rel Start","Duration","bps A→B","bps A←B"
"1.1.2.3","41104","5.6.7.8","http","18","7115","10","784","8","6331","7.585480000","0.0039","1595116.99","12880976.60"
"1.1.2.3","41105","5.6.7.8","http","18","7480","10","784","8","6696","7.732008000","0.0038","1665427.51","14224110.46"
"1.1.2.3","41106","5.6.7.8","http","12","2397","7","586","5","1811","7.943098000","0.0032","1449598.02","4479901.05"
"1.1.2.3","41107","5.6.7.8","http","22","11600","12","916","10","10684","8.301584000","0.0042","1739378.12","20287680.99"
"1.1.2.3","41108","5.6.7.8","http","16","6579","9","718","7","5861","8.464090000","0.0038","1513171.76","12351949.42"
"1.1.2.3","41109","5.6.7.8","http","14","4466","8","652","6","3814","8.728050000","0.0035","1508822.68","8826149.84"
"1.1.2.3","41110","5.6.7.8","http","12","3112","7","586","5","2526","8.766358000","0.0034","1380041.21","5948778.33"
"1.1.2.3","fs-qos","5.6.7.8","http","22","11181","12","916","10","10265","8.775666000","0.0039","1873689.59","20997187.42"
"1.1.2.3","41112","5.6.7.8","http","22","10707","12","916","10","9791","8.807336000","0.0039","1860370.65","19885250.06"
"1.1.2.3","41113","5.6.7.8","http","14","4810","8","652","6","4158","8.915025000","0.0035","1500575.37","9569620.25"
"1.1.2.3","41114","5.6.7.8","http","18","7573","10","784","8","6789","9.250561000","0.0043","1443830.57","12502762.43"
"1.1.2.3","41115","5.6.7.8","http","14","3968","8","652","6","3316","9.542969000","0.0036","1443675.62","7342374.76"
"1.1.2.3","41116","5.6.7.8","http","12","2592","7","586","5","2006","9.739236000","0.0034","1389448.73","4756372.26"
"1.1.2.3","41117","5.6.7.8","http","16","6407","9","718","7","5689","10.298143000","0.0287","200327.83","1587277.23"
"1.1.2.3","41118","5.6.7.8","http","12","2482","7","586","5","1896","10.514776000","0.0034","1369158.88","4429906.54"
"1.1.2.3","41119","5.6.7.8","http","22","10475","12","916","10","9559","10.657555000","0.0041","1804037.42","18826193.99"
"1.1.2.3","41120","5.6.7.8","http","18","7758","10","784","8","6974","10.737681000","0.0040","1565651.52","13927109.34"
"1.1.2.3","tentacle","5.6.7.8","http","16","6655","9","718","7","5937","10.997463000","0.0038","1511181.27","12495659.04"
"1.1.2.3","41122","5.6.7.8","http","12","3106","7","586","5","2520","11.033589000","0.0034","1371562.32","5898186.07"
"1.1.2.3","41123","5.6.7.8","http","12","3456","7","586","5","2870","11.204977000","0.0035","1358053.30","6651216.69"
"1.1.2.3","41124","5.6.7.8","http","16","6073","9","718","7","5355","11.285450000","0.0039","1473954.32","10993071.59"
"1.1.2.3","41125","5.6.7.8","http","14","4801","8","652","6","4149","11.640960000","0.0036","1445275.70","9197007.48"
"1.1.2.3","41126","5.6.7.8","http","10","2054","6","520","4","1534","12.324678000","0.0036","1162335.85","3428890.75"
"1.1.2.3","41127","5.6.7.8","http","20","9095","11","850","9","8245","12.579523000","0.0041","1670761.67","16206388.21"
"1.1.2.3","41128","5.6.7.8","http","12","3396","7","586","5","2810","12.664643000","0.0033","1415031.69","6785390.88"
